event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
DJI228,2024-10-04,2024,1,Strategic developments,Strategic developments,Other,Government of Djibouti (1999-),,State forces,Government of Ethiopia (2018-),,External/Other forces,State forces-External/Other forces,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Addis Fortune; Al-Wahda,Regional-International,"Other: On 4 October 2024, the Djibouti government offered the Ethiopian government 100pc of management rights over the port of Tadjourah (coded to Djibouti, Djibouti) in order to defuse rising tensions between Ethiopia and Somalia. This initiative comes as an offer to give direct sea access to the Ethiopian landlocked country.",0,,1753954337
DJI229,2024-10-01,2024,1,Strategic developments,Strategic developments,Other,Civilians (International),Migrants (International),Civilians,,,,Civilians only,,262,Eastern Africa,Djibouti,Obock,Obock,,Obock,11.9631,43.2906,1,La Voix De Djibouti,National,"Other: On 1 October 2024, boat operators forced individuals to jump off two boats carrying 310 migrants from Yemen to Djibouti close to Obock (Obock, Obock). 46 civilians were killed.",46,NA,1728963286
DJI170,2020-10-21,2020,1,Strategic developments,Strategic developments,Other,Government of Djibouti (1999-),,State forces,,,,State forces only,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,GardaWorld; La Nation (Djibouti),Other-Subnational,"On 21 October 2020, the Government of Djibouti announced the closure of its borders for 15 days as measure to prevent the spread of coronavirus.",0,NA,1729632984
DJI192,2021-08-01,2021,1,Political violence,Battles,Armed clash,Issa Clan Militia (Djibouti),,Identity militia,Afar Ethnic Militia (Djibouti),,Identity militia,Identity militia-Identity militia,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,AFP; ARD Djibouti; GardaWorld,Other-National,"On 1 August 2021, Afar and Issa ethnic groups clashed in PK12 and Warabley neighborhoods in Balbala (Djibouti, Djibouti). At least 3 people were killed and twenty were injured, and two hundred fifty houses were set on fire.",3,NA,1729632984
DJI193,2021-08-01,2021,1,Political violence,Battles,Armed clash,Issa Clan Militia (Djibouti),,Identity militia,Afar Ethnic Militia (Djibouti),,Identity militia,Identity militia-Identity militia,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,ARD Djibouti; GardaWorld,Other-National,"On 1 August 2021, Afar and Issa ethnic groups clashed in Arhiba neighborhood in Djibouti (Djibouti, Djibouti).",0,NA,1729632984
DJI194,2021-08-01,2021,1,Political violence; Demonstrations,Protests,Excessive force against protesters,Protesters (Djibouti),Afar Ethnic Group (Djibouti),Protesters,Police Forces of Djibouti (1999-),,State forces,State forces-Protesters,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,GardaWorld,Other,"On 1 August 2021, the Djiboutian police opened fire on Afar demonstrators in Arhiba neighborhood in Djibouti (Djibouti) who were denouncing the attacks on their homes by Issa militia.",0,crowd size=no report,1754409724
DJI204,2022-05-13,2022,1,Political violence; Demonstrations,Protests,Excessive force against protesters,Protesters (Djibouti),,Protesters,Police Forces of Djibouti (1999-),,State forces,State forces-Protesters,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,GardaWorld; Huno Djibouti,Other-New media,"On 13 May 2022, citizens affiliated to an opposition party (party unknown) demonstrated in Djibouti city (Djibouti, Djibouti). A protester was taken to an undisclosed location by assumed police forces.",0,crowd size=no report,1754409724
DJI230,2024-11-21,2024,1,Strategic developments,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,State forces,Civilians (International),Migrants (International),Civilians,State forces-Civilians,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Al Quarn; Djib Live (Djibouti),New media-Subnational,"On 21 November 2024, police forces arrested 490 illegal migrants in several neighborhoods in Djibouti (Djibouti, Djibouti) and transferred them to the Najad district during a large scale campaign.",0,NA,1733203845
DJI231,2024-12-16,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Djibouti (1999-) Gendarmerie,,State forces,,,,State forces only,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,Djib Live (Djibouti),New media,"Weapons seizure: On 16 December 2024, Djibouti Gendarme and customs officers intercepted more than a hundred daggers following an operation against weapons trafficking. Unknown location coded to Djibouti (Djibouti).",0,NA,1736844938
DJI227,2024-06-08,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2017-) Houthi,,External/Other forces,,,,External/Other forces only,,262,Eastern Africa,Djibouti,Obock,Alaili Dadda,,Moulhoule,12.5876,43.1937,2,MSCHOA,Other,"On 8 June 2024, at around 2:30 am Sanaa time, Houthi forces fired 2 missiles likely targeting the MSC Tavvishi container ship (IMO: 9189366) in the Gulf of Aden that fell inland in North Djibouti (coded to Moulhoule, Obock) claiming affiliation with companies in violation of the Houthi ban to call at Israeli ports. There were no fatalities or injuries as the missiles likely impacted an uninhabited area. Houthi forces have been labeling MSC ships as 'Israeli' possibly because of the dual Swiss-Israeli citizenship of one of MSC's co-founder and co-owner.",0,,1753954337
DJI16,2004-01-18,2004,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Djibouti),,Political militia,Civilians (Djibouti),,Civilians,Political militia-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Ali Sabieh,Ali Sabieh,,Daasbiyo,11.2525,42.8003,1,AFP; AP,International,"Six passengers were injured Sunday by an explosion on a freight and passenger train traveling between Djibouti and Ethiopia close to the junction at Daasbyo, some 75 kilometres (47 miles) south of Djibouti city",0,NA,1747779126
DJI115,2018-05-14,2018,1,Demonstrations,Riots,Violent demonstration,Rioters (Djibouti),,Rioters,Police Forces of Djibouti (1999-),,State forces,State forces-Rioters,,262,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,RFI,International,"On 14 May 2018, a youth demonstration over the results of a career recruitment drive for a newly constructed port led to clashes with police in Tadjourah. 80 people were arrested and released later on. The youth blocked roads, stoned the security forces and ransacked the Regional Council offices.",0,local administrators,1751318220
DJI51,2012-12-30,2012,1,Political violence; Demonstrations,Protests,Excessive force against protesters,Protesters (Djibouti),,Protesters,Police Forces of Djibouti (1999-),,State forces,State forces-Protesters,Civilian targeting,262,Eastern Africa,Djibouti,Obock,Obock,,Obock,11.9631,43.2906,1,States News Service (United States),International,"On 30 December 2012, Djiboutian security forces fired on peaceful young demonstrators in the city of Obock, killing a 14 year-old and seriously injuring many others",1,NA,1751318220
DJI174,2021-01-14,2021,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,FRUD: Front for the Restoration of Unity and Democracy,Afar Ethnic Group (Djibouti),Rebel group,Military Forces of Djibouti (1999-) Gendarmerie,Military Forces of Djibouti (1999-); Police Forces of Djibouti (1999-); Civilians (Djibouti),State forces,State forces-Rebel group,,262,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,RFI,International,"On 14 January 2021, FRUD militants simultaneously attacked a police commissariat, gendarmerie and a military camp with indirect fire (mortar or rocket attack) in Tadjourah (Tadjourah). One gendarme was killed and a civilian was injured during the attack.",1,,1753970414
DJI232,2025-10-27,2025,1,Strategic developments,Strategic developments,Other,Government of Djibouti (1999-),,State forces,,,,State forces only,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,ADI; RFI,New media-International,"Other: On 27 October 2025, the National Assembly unanimously voted to lift the presidential age limit in Djibouti (Djibouti, Djibouti), allowing the current president to run for a sixth term in the upcoming April 2026 election.",0,,1764631504
